a1,a2,a3,a4,a5,a6,a7,a8
30-Apr-2020,0.00178249938135952,0.00223815413077815,0.00263408234027428,0.00373501106476794,0.00500598410800883,0.00669683121317962,0.00712467807785081
29-Apr-2020,0.00176166591863779,0.00221238391216961,0.00260406577504786,0.00369074506488304,0.00494610836386704,0.0073257472137447,0.00800801026468493
28-Apr-2020,0.00180166568419519,0.0022425178021402,0.00263907622109596,0.00374084719538163,0.00499044351928388,0.00740339704006057,0.0080717523538845
27-Apr-2020,0.00180166562988014,0.00224251786729069,0.00264074502209296,0.0037416830169539,0.00499338444655945,0.00740808810266939,0.00807150538780517
24-Apr-2020,0.00186416558026521,0.00231983042665287,0.00273246495539523,0.00386779722205223,0.00517135571365676,0.00761192866298068,0.00823977171858168
23-Apr-2020,0.00187083213443657,0.00232814294656153,0.00273996752308106,0.00388534385377079,0.00519271896694286,0.00763897619434389,0.00826123144762835
22-Apr-2020,0.00187249876253734,0.00232651948204131,0.00274497445888493,0.0038878495377428,0.00519732906269409,0.00764829821901365,0.00826634145797934
21-Apr-2020,0.00185916552621956,0.00231318471387248,0.00272662969391214,0.00385944625634433,0.00516466311420965,0.00759926964629696,0.00823134287488688
20-Apr-2020,0.00179333206371941,0.00223747362508997,0.00263741455610152,0.00372162469188483,0.00501060206206906,0.00741488539567735,0.00809404032430499
17-Apr-2020,0.00179249872339753,0.00223499511637226,0.00263574716108519,0.00372246514789984,0.00500767586406677,0.00741323751748102,0.00809241155083903
16-Apr-2020,0.00179666517958242,0.00224080715207126,0.0026424179348464,0.00373081616269238,0.00499759385154134,0.00740727863078932,0.00810780363501465
15-Apr-2020,0.00177666517571682,0.0022142248590286,0.00261240136281026,0.00368404034949201,0.00506269025377899,0.00742813221011583,0.0080210440687076
14-Apr-2020,0.00178583178830835,0.00222174710970094,0.00262574386769768,0.0037049274174722,0.00504338321964409,0.00740828343338051,0.00805602382870712
13-Apr-2020,0.00202999838015757,0.00251035971732489,0.00278567127156712,0.00342934882606291,0.00502495244693961,0.00715278322945787,0.00793975468444319
10-Apr-2020,0.00208749848551541,0.00259254489428092,0.00285402086717451,0.00346596989173502,0.00503523103221764,0.00708547155368818,0.00794877563021045
09-Apr-2020,0.00206916514165383,0.00256433791193693,0.00282400494738716,0.00343426161600814,0.00502567138291582,0.00707336718572606,0.00794448552861645
08-Apr-2020,0.00204249848254007,0.00253766783852556,0.00279065481990976,0.00339921869878154,0.00498342268785241,0.00701945531020536,0.00790027732998474
07-Apr-2020,0.00195583183672835,0.00242795847357682,0.00267560590486086,0.0032573462342274,0.00477034937463087,0.00678509523006489,0.00770327035397254
06-Apr-2020,0.00202166496661311,0.0024970900575396,0.00276648955172843,0.00335664588509428,0.00500950814046484,0.00699244963957366,0.00792574108507282
03-Apr-2020,0.0022566650082422,0.00278805687144864,0.00308998762006137,0.00375561689356597,0.00560967052527374,0.00764012089621588,0.00846645381516874
02-Apr-2020,0.0022433314832767,0.00277143141648645,0.00307164452809543,0.00373391560413033,0.00557447277936627,0.00760299359729662,0.008434876933437
01-Apr-2020,0.00224583164927705,0.00277557714204237,0.00307831755696282,0.00373641152219419,0.00558705047359868,0.00761354545726727,0.00844048757721297
31-Mar-2020,0.00211249842595091,0.00260109553328484,0.00288404488161976,0.00349685063778879,0.00520794306430117,0.00721201824773357,0.00810000028980543
30-Mar-2020,0.00173833203296237,0.00213640626421598,0.00254904107985378,0.00361559702182656,0.00598947548966876,0.00682239558549157,0.00807283892092261
